"","Sport_ID","School_ID","Graduation_Year","Player","URL","player_imageurl","ID_Race","Position","Hometown","Height_Inches","Weight","Height_Numeric","High_School","CIP_Family","CIP_ID","CIPFamilyTitle","CIP_Code","CIPTitle","Stated_Major","Actual_Major","Aspiration","Departed_Program","Transfer","Quit","Injured","Dismissed","Jailed","Death","Last_Name","First_Name","City","State","Longitude","Latitude"
"320","FBALL","OKSTATE",2008,"Rodrick Johnson","http://www.okstate.com/sports/m-footbl/spec-rel/081107aal.html",NA,"AA","LB","Galveston, TX",75,255,6.25,"Ball High School",13,"EDUCATION","Education",13.0101,"Education, General.","Education","","",NA,NA,NA,NA,NA,NA,NA,"Johnson","Rodrick","Galveston","TX",-94.7976958,29.3013479
"321","FBALL","OKSTATE",2008,"Maurice Cummings","http://www.okstate.com/sports/m-footbl/spec-rel/081107aam.html",NA,"AA","DT","Rosebud, TX",76,265,6.333,"Rosebud-Lott High School",13,"EDUCATION","Education",13.0101,"Education, General.","Education","","",NA,NA,NA,NA,NA,NA,NA,"Cummings","Maurice","Rosebud","TX",-96.9785993,31.0729608
"322","FBALL","OKSTATE",2007,"David Koenig","http://www.okstate.com/sports/m-footbl/spec-rel/081107aan.html",NA,"C","OL","Cape Coral, FL",77,290,6.417,"Cape Coral High School",52,"BUSINESS.MANAGEMENT.MARKETING","Business, Management, Marketing, and Related Support Services",52.0201,"Business Administration and Management, General.","Business Management","","",NA,NA,NA,NA,NA,NA,NA,"Koenig","David","Cape Coral","FL",-81.9495331,26.5628537
"323","FBALL","OKSTATE",2008,"Bobby Reid","http://www.okstate.com/sports/m-footbl/spec-rel/081107aao.html",NA,"AA","QB","Galena Park, TX",75,230,6.25,"North Shore High School",13,"EDUCATION","Education",13.0101,"Education, General.","Education","","",NA,NA,NA,NA,NA,NA,NA,"Reid","Bobby","Galena Park","TX",-95.2302123,29.7335616
"324","FBALL","OKSTATE",2009,"Alex Odiari","http://www.okstate.com/sports/m-footbl/spec-rel/081107aap.html",NA,"AA","LB","Lewisville, TX",73,225,6.083,"Hebron High School",45,"SOCIAL.SCIENCE","Social Sciences",45.1101,"Sociology.","Sociology","","",TRUE,TRUE,NA,NA,TRUE,NA,NA,"Odiari","Alex","Lewisville","TX",-96.994174,33.046233
"325","FBALL","OKSTATE",2007,"Clint Coe","http://www.okstate.com/sports/m-footbl/spec-rel/081107aaq.html",NA,"C","S","Edmond, OK",74,195,6.167,"Deer Creek High School",52,"BUSINESS.MANAGEMENT.MARKETING","Business, Management, Marketing, and Related Support Services",52.1401,"Marketing/Marketing Management, General.","Marketing","","",NA,NA,NA,NA,NA,NA,NA,"Coe","Clint","Edmond","OK",-97.4780954,35.6528323
"326","FBALL","OKSTATE",2010,"Al'Darius Thompson","http://www.okstate.com/sports/m-footbl/spec-rel/081107aat.html",NA,"AA","DB","Mesquite, TX",71,180,5.917,"North Mesquite High School",9,"COMM.JOURN","Communication, Journalism, and Related Programs",9.04,"Journalism.","Broadcasting","","Sports Journalism",TRUE,NA,TRUE,NA,NA,NA,NA,"Thompson","Al'Darius","Mesquite","TX",-96.5991593,32.7667955
"327","FBALL","OKSTATE",2007,"DeAaron Martin","http://www.okstate.com/sports/m-footbl/spec-rel/081107aau.html",NA,"AA","RB","Oklahoma City, OK",68,190,5.667,"Douglass High School",50,"VISUAL.ARTS","Visual and Performing Arts",50.0702,"Fine/Studio Arts, General.","Art","","",NA,NA,NA,NA,NA,NA,NA,"Martin","DeAaron","Oklahoma City","OK",-97.5164276,35.4675602
"328","FBALL","OKSTATE",2012,"Adrian Moore","http://www.okstate.com/sports/m-footbl/spec-rel/081107aav.html",NA,"AA","DB","White Hall, AR",73,200,6.083,"White Hall High School",NA,NA,NA,NA,NA,"Undisclosed","","",TRUE,TRUE,TRUE,NA,NA,NA,NA,"Moore","Adrian","White Hall","AR",-92.0909766,34.2739862
"329","FBALL","OKSTATE",2007,"Donovan Woods","http://www.okstate.com/sports/m-footbl/spec-rel/081107aaw.html",NA,"AA","S","Oklahoma City, OK",74,225,6.167,"Millwood High School",52,"BUSINESS.MANAGEMENT.MARKETING","Business, Management, Marketing, and Related Support Services",52.0101,"Business/Commerce, General.","General Business","","",NA,NA,NA,NA,NA,NA,NA,"Woods","Donovan","Oklahoma City","OK",-97.5164276,35.4675602
"330","FBALL","OKSTATE",2010,"Jacob Secrest","http://www.okstate.com/sports/m-footbl/spec-rel/081107aax.html",NA,"C","OL","Stillwater, OK",77,295,6.417,"Stillwater High School",45,"SOCIAL.SCIENCE","Social Sciences",45.1101,"Sociology.","Sociology","","",TRUE,NA,NA,TRUE,NA,NA,NA,"Secrest","Jacob","Stillwater","OK",-97.0583681,36.1156071
"331","FBALL","OKSTATE",2010,"Chris Collins","http://www.okstate.com/sports/m-footbl/spec-rel/081107aay.html",NA,"AA","LB","Texarkana, TX",74,240,6.167,"Texas High School",NA,NA,NA,NA,NA,"Undecided","","",TRUE,NA,NA,NA,TRUE,TRUE,NA,"Collins","Chris","Texarkana","TX",-94.0476882,33.425125
