Number,Player,PlayerBio_URL,Height,Weight,Position,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
23,Collin Sexton,http://www.kstatesports.com/sports/m-footbl/mtt/sexton_collin00.html,5/10/13,166,WR,FR,"Abilene, Kan. ",Abilene,KAN,Abilene High School,,,,,Kansas State University,2012-2013
14,Curry Sexton,http://www.kstatesports.com/sports/m-footbl/mtt/sexton_curry00.html,5/11/13,180,WR,SO,"Abilene, Kan. ",Abilene,KAN,Abilene High School,,,,,Kansas State University,2012-2013
53,Blake Slaughter,http://www.kstatesports.com/sports/m-footbl/mtt/slaughter_blake00.html,5/10/13,227,LB,SR,"Missouri City, Texas ",Missouri City,TEXAS,Elkins High School,,,,,Kansas State University,2012-2013
35,David Smith,http://www.kstatesports.com/sports/m-footbl/mtt/smith_david00.html,6/1/00,230,LB,SO,"Argyle, Texas ",Argyle,TEXAS,Liberty Christian High School,,,,,Kansas State University,2012-2013
6,Tate Snyder,http://www.kstatesports.com/sports/m-footbl/mtt/snyder_tate00.html,5/11/13,223,LB,SO,"Manhattan, Kan. ",Manhattan,KAN,Manhattan High School,,,,,Kansas State University,2012-2013
10,Donny Starks,http://www.kstatesports.com/sports/m-footbl/mtt/starks_donny00.html,5/11/13,180,DB,FR,"Crosby, Texas ",Crosby,TEXAS,Crosby High School,,,,,Kansas State University,2012-2013
83,Logan Stephens,http://www.kstatesports.com/sports/m-footbl/mtt/stephens_logan00.html,6/1/00,200,WR,JR,"Grinnell, Kan. ",Grinnell,KAN,Wheatland High School,Dodge City Community College,,,,Kansas State University,2012-2013
77,Boston Stiverson,http://www.kstatesports.com/sports/m-footbl/mtt/stiverson_boston00.html,6/4/13,312,OL,RS FR,"Andover, Kan. ",Andover,KAN,Andover Central High School,,,,,Kansas State University,2012-2013
96,John Sua,http://www.kstatesports.com/sports/m-footbl/mtt/sua_john00.html,6/1/00,294,DL,SR,"Santa Maria, Calif. ",Santa Maria,CALIF,St. Joseph High School,Allan Hancock College,,,,Kansas State University,2012-2013
80,Travis Tannahill,http://www.kstatesports.com/sports/m-footbl/mtt/tannahill_travis00.html,6/3/13,253,TE,SR,"Overland Park, Kan. ",Overland Park,KAN,Olathe East High School,,,,,Kansas State University,2012-2013
79,Keenan Taylor,http://www.kstatesports.com/sports/m-footbl/mtt/taylor_keenan00.html,6/4/13,290,OL,JR,"Tulsa, Okla. ",Tulsa,OKLA,Booker T. Washington High School,,,,,Kansas State University,2012-2013
86,Tramaine Thompson,http://www.kstatesports.com/sports/m-footbl/mtt/thompson_tramaine00.html,5/8/13,167,WR,JR,"Jenks, Okla. ",Jenks,OKLA,Jenks High School,,,,,Kansas State University,2012-2013
85,Zach Trujillo,http://www.kstatesports.com/sports/m-footbl/mtt/trujillo_zach00.html,6/4/13,236,TE,SO,"Edmond, Okla. ",Edmond,OKLA,Deer Creek High School,,,,,Kansas State University,2012-2013
21,Jonathan Truman,http://www.kstatesports.com/sports/m-footbl/mtt/truman_jonathan00.html,5/11/13,214,LB,SO,"Kechi, Kan. ",Kechi,KAN,Kapaun Mt. Carmel High School,,,,,Kansas State University,2012-2013
2,Justin Tuggle,http://www.kstatesports.com/sports/m-footbl/mtt/tuggle_justin00.html,6/3/13,237,LB,SR,"Alpharetta, Ga. ",Alpharetta,GA,Blinn College High School,,,,,Kansas State University,2012-2013
25,Dylan Veatch,http://www.kstatesports.com/sports/m-footbl/mtt/veatch_dylan00.html,5/11/13,191,WR,SO,"Shawnee, Kan. ",Shawnee,KAN,Rockhurst High School,University of Indiana,,,,Kansas State University,2012-2013
50,Tre Walker,http://www.kstatesports.com/sports/m-footbl/mtt/walker_tre00.html,6/3/13,225,LB,JR,"Olathe, Kan. ",Olathe,KAN,North High School,,,,,Kansas State University,2012-2013
12,Stanton Weber,http://www.kstatesports.com/sports/m-footbl/mtt/weber_stanton00.html,6/1/00,179,WR,RS FR,"Overland Park, Kan. ",Overland Park,KAN,Bishop Miege High School,,,,,Kansas State University,2012-2013
13,Steven West,http://www.kstatesports.com/sports/m-footbl/mtt/west_steven00.html,6/1/00,196,WR,FR,"Keller, Texas ",Keller,TEXAS,Fossil Ridge High School,,,,,Kansas State University,2012-2013
55,Cody Whitehair,http://www.kstatesports.com/sports/m-footbl/mtt/whitehair_cody00.html,6/3/13,300,OL,RS FR,"Abilene, Kan. ",Abilene,KAN,Abilene High School,,,,,Kansas State University,2012-2013
42,Meshak Williams,http://www.kstatesports.com/sports/m-footbl/mtt/williams_meshak00.html,6/3/13,245,DE,GR,"Sylvester, Ga. ",Sylvester,GA,Worth County High School,Hutchinson Community College,,,,Kansas State University,2012-2013
37,Braden Wilson,http://www.kstatesports.com/sports/m-footbl/mtt/wilson_braden00.html,6/4/13,256,FB,SR,"Smith Center, Kan. ",Smith Center,KAN,Smith Center High School,,,,,Kansas State University,2012-2013
8,Dillon Wilson,http://www.kstatesports.com/sports/m-footbl/mtt/wilson_dillon00.html,5/10/13,187,PK,RS FR,"Midlothian, Texas ",Midlothian,TEXAS,Midlothian High School,,,,,Kansas State University,2012-2013
12,Ty Zimmerman,http://www.kstatesports.com/sports/m-footbl/mtt/zimmerman_ty00.html,6/1/13,203,DB,JR,"Junction City, Kan. ",Junction City,KAN,Junction City High School,,,,,Kansas State University,2012-2013
